Siapa nama Presiden Indonesia kedua,Soekarno
Siapa pemimpin Spanyol di Maluku tahun 1522,Sebastian del Cano
Siapa yang membangun benteng di Flores tahun 1550,Portugis
Siapa yang mengusir Portugis dari Ternate,Baabullah
Siapa pemimpin Aceh yang melawan Portugis tahun 1615,Iskandar Muda
Siapa pemimpin Belanda di Banten Tahun 1596,Cornelis de Houtman
Siapa yang membuat jalan raya pos Anyer Panarukan,Daendels
Siapa pengganti Daendels tahun 1811,Willem Janssens
Siapa tokoh Inggris yang memimpin Indonesia tahun 1811-1816,Raffles
Siapa yang mengeluarkan Undang-undang Agraria 1870,De Waal
Siapa yang berhasil menduduki Tarakan tahun 1942,Jepang
Siapa pemimpin jepang di Bandung tanggal 1 Maret,Toshinori Shoji
Siapa pemimpin MIAI pertama,Mas Mansyur
Siapa pemimpin pemberontakan peta di Blitar tahun 1945,Supriyadi
Siapa pembaca teks proklamasi Indonesia,Soekarno
Siapa ketua PPKI,Soekarno
Siapa wakil dari Sunda Kecil dalam PPKI,Latuharhary
Siapa wakil dari Kalimantan dalam PPKI,Hamidhan
Siapa tokoh pemuda yang mendesak proklamasi,Sutan Sjahrir
Siapa pelaku peristiwa Rengasdengklok,Golongan Muda
Siapa yang menyediakan tempat perumusan teks proklamasi,Laksamana Maeda
Siapa pengetik naskah proklamasi,Sayuti Melik
Siapa penjahit bendera Merah Putih,Fatmawati
Siapa ketua BPUPKI,Radjiman Wedyodiningrat
Siapa pencipta lagu Indonesia Raya,Supratman
Siapa tokoh pertempuran Surabaya 10 November 1945,Sutomo
Siapa tokoh TRI pada peristiwa Bandung Lautan Api,Nasution
Siapa pendiri Komando Mandala dalam Operasi Trikora,Soekarno
Siapa nama Presiden Indonesia kedua,Soeharto
Siapa tokoh dalam pertempuran Laut Aru,Yos Sudarso
Siapa pencetus Ganyang Malaysia,Soekarno
Siapa tokoh korban Perang Puputan Bali,I Gusti Ngurah Rai
Siapa pemimpin Orde Lama,Soekarno
Siapa pemimpin Orde Baru,Soeharto
Siapa pemimpin Sarekat Islam,Cokroaminoto
Siapa pemimpin SI Merah,Semaun
Siapa penulis Seandainya Saya Seorang Belanda,Ki Hajar Dewantara
Siapa ketua Tri Koro Dharmo,Satiman Wiryosanjoyo
Siapa tokoh Jong Sumatranen Bond,Hatta
Siapa penerbit majalah Indonesia Merdeka,PI
Siapa pembawa paham Komunis ke Indonesia,Sneevliet
Siapa pendiri perkumpulan Adhi Dharma,Suryapranoto
Siapa penerima Surat Perintah 11 Maret,Soeharto
Siapa yang membubarkan PKI tahun 1966,Soeharto
Siapa nama Presiden Indonesia Ketiga,Habibie
Siapa nama Presiden Indonesia Keempat,Abdurrahman Wahid
Siapa nama lain Abdurrahman Wahid,Gusdur
Siapa nama Presiden wanita Indonesia pertama,Megawati
Siapa yang menandatangani Maklumat Pemerintah Nomor X,Hatta
Siapa pemimpin Partindo,Soekarno
Siapa pembuat asas Pax Neerlandica,Belanda
Siapa tokoh perlawanan kolonial di Aceh,Teuku Umar
Siapa tokoh perempuan Aceh yang melawan Belanda,Cut Nyak Dien
Siapa tokoh Belanda yang tewas saat melawan Aceh tahun 1873,Kohler
Siapa ketua PNI,Soekarno
Siapa ketua PNI Baru,Hatta
Siapa inisiator pembubaran PNI,Sartono
Siapa ketua PNI Baru tahun 1932,Sjahrir
Siapa tokoh Belanda yang berusaha meruntuhkan PNI Baru,De Jonge
Siapa pemimpin sekolah SI Semarang tahun 1921,Tan Malaka
Apa nama sebutan indonesia pada masa belanda,Hindia Belanda
Apa singkatan Majelis Syuro Muslimin Indonesia,Masyumi
Apa Singkatan Partai Syarikat Islam Indonesia,PSII
Apa nama sistem kerja paksa pada pemerintahan Jepang,Romusha
Apa nama Oganisasi yang diperingati sebagai hari kebangkitan nasional,Budi Utomo
Apa nama Selat di ujung Sumatera, Selat Malaka
Apa nama Selat penghubung pulau Sumatera dan Jawa, Sunda
Apa nama Organisasi yang didirikan Soekarno di Bandung,Aglement Studi Club
Apa nama lain Soekarno, Soekarno
Apa nama lain Hatta,Hatta
Apa Kepanjangan KAA,Konferensi Asia Afrika
Apa nama Organisasi pemuda jawa pada masa pergerakan,Jong Java
Apa nama lain Pulau Sumatera pada masa Pergerakan Nasional,Pulau Andalas
Apa singkatan Nahdlatul Ulama,NU
Apa singkatan Partai Nasional Indonesia,PNI
Apa Kepanjangan UUD,Undang-Undang Dasar
Apa nama lagu Kebangsaan Indonesia,Indonesia Raya
Apa singkatan Serikat Islam,SI
Apa singkatan Perhimpunan Indonesia,PI
Apa singkatan Tentara Nasional Indonesia,TNI
Apa Singkatan Partai Persatuan Pembangunan,PPP
Apa nama mata uang republik Indonesia,Rupiah
Apa nama bunga yang ditemukan orang inggris di Bengkulu,Raflesia
Apa singkatan Partai Golongan Karya,Golkar
Apa nama ibukota Sumatera Selatan,Palembang
Apa nama Partai yang didirikan oleh Wiranto,Hanura
Apa nama Partai yang didirikan oleh Surya Paloh,NasDem
Apa singkatan Partai Amanat Nasional,PAN
Apa Kepanjangan Komando Pasukan Khusus,Kopassus
Apa nama Kabinet Pemerintahan Presiden Joko Widodo,Kerja
Apa nama Ibukota Jawa Barat,Bandung
Apa nama Kabinet Pemerintahan Presiden SBY,Indonesia Bersatu
Apa nama Pidato Pembelaan Soekarno,Indonesia Menggugat
Apa nama Kabinet Pemerintahan Presiden Megawati,Gotong Royong
Apa nama Jembatan yang menjadi ikon Palembang,Ampera
Apa nama ibukota Sumatera Utara,Medan
Apa nama ibukota Sumatera Barat,Padang
Apa singkatan Monumen Nasional,Monas
Apa Singkatan Universitas Indonesia,UI
Apa nama kota yang terkenal dengan sebutan Paris Van Java,Bandung
Apa nama Ibukota Jawa Timur,Surabaya
Apa nama Ibukota Jawa Tengah,Semarang
Apa nama Ibukota Bangka Belitung,Pangkal Pinang
Apa Singkatan Surat Perintah Sebelas Maret,Supersemar
Apa sebutan Jenderal TNI yang gugur karena Gestapu, Pahlawan Revolusi
Apa nama tempat pembuangan pahlawan revolusi,Lubang Buaya
Apa nama ibukota Banten,Serang
Apa nama Organisasi Pergerakan Nasional yang bergerak sampai sekarang,Muhammadiyah
Apa nama Ibukota Bali,Denpasar
Apa nama buku tentang sistem tanam paksa,Max Haveelar
Apa Singkatan Republik Indonesia Serikat,RIS
Apa Singkatan Komisi Pemberantasan Korupsi,KPK
Apa Kepanjangan PP,Peraturan Pemerintah
Apa Singkatan Keputusan Presiden,Keppres
Apa Nama Organisasi Pergerakan Nasional yang didirikan Hatta di negeri Belanda,Perhimpunan Indonesia
Apa nama pidato pertanggung jawaban Soekarno setelah Gestapu,Nawaksara
Apa nama Universitas tertua di Indonesia,Universitas Indonesia
Apa Singkatan Univesitas Pendidikan Indonesia,UPI
Apa nama kota Jakarta saat Pemerintahan Belanda,Batavia
Apa nama ibukota Papua, Jayapura
Di mana Kongres Pemuda ke II dilaksanakan,Jakarta
Di mana Organisasi Serikat Dagang Islam didirikan,Yogyakarta
Di mana Organisasi Keagamaan Nadhatul Ulama didirikan,Surabaya
Di mana Sekolah Stovia didirikan,Batavia
Di mana Soekarno dilahirkan,Surabaya
Di mana terjadinya Peristiwa Bandung Lautan Api,Bandung
Di mana Hatta Berasal,Sumatera Barat
Di mana Monumen Nasional Berada,Jakarta
Di mana Fatwati Soekarno Berasal,Bengkulu
Di mana Pidato Proklamasi dilaksanakan,Jakarta
Di mana Sultan Hamengkubuwono IX berasal,Yogyakarta
Di mana Peristiwa 10 November terjadi,Surbaya
Di mana ibukota Republik Indonesia sekarang,Jakarta
Di mana Tempat Berlangsungnya Konferensi Asia Afrika pertama,Bandung
Di mana Provinsi Tan Malaka dilahirkan,Sumatera Barat
Di mana Soekarno dimakamkan,Blitar
Di mana terjadinya Pemberontakan PKI tahun 1948,Madiun
Di mana Tempat Pendidikan Akademi Militer,Magelang
Di mana Kota yang terkenal dengan Bunga Raflesia,Bengkulu
Di mana Kongres Bahasa Indonesia Pertama dilaksanakan,Solo
Di mana Kartini dilahirkan,Jepara
Di mana Partai Nasional Indonesia didirikan,Bandung
Di mana Organisasi Muhammadiyah didirikan,Yogyakarta
Di mana Soetomo berasal,Jawa Timur
Di mana Ki Hajar Dewantara diasingkan,Belanda
Di mana Soekarno dan Hatta dibawa pemuda menjelang Proklamasi,Rengasdengklok
Di mana ibukota Kalimantan Selatan,Banjarmasin
Di mana Susilo Bambang Yudhoyono dilahirkan,Pacitan
Di mana Megawati Soekarno Putri dilahirkan,Yogyakarta
Di mana Taman Mini Indonesia Indah berada,Jakarta Timur
Di mana Monumen Pancasila Sakti Berada,Jakarta
Di mana Habibie dilahirkan,Sulawesi Selatan
Di mana piagam jakarta diresmikan,Jakarta
Di mana Ahmad Yani dibuang saat Gestapu, Lubang Buaya
Di mana terjadinya pemberontakan Andi Aziz,Makassar
Di mana terjadinya perang 5 hari 5 malam,Palembang
Di mana Perang Padri terjadi,Sumatera Barat
Di mana Van Den Bosch berasal,Belanda
Di mana Organisasi pemuda Jong Java berasal,Jawa
Di mana lembaga Pendidikan Akademik Kepolisian berada,Semarang
Di mana pusat industri perkapalan nasional PT. PAL,Surabaya
Di mana Tempat Berlangsungnya Sea Games 2011 di indonesia,Palembang
Di mana Organisasi Jong Sumatera Bond berasal,Sumatera
Di mana wilayah paling barat indonesia,Sabang
Di mana Wilayah Paling timur Indonesia,Merauke
Di mana PT. Freeport Indonesia berada,Papua
Di mana lokasi Universitas Gadjah Mada,Yogyakarta
Di mana lokasi Institut Teknologi Bandung,Bandung
Di mana Organisasi Jong Celebes berasal,Sulawesi
Di mana Presiden Gusdur dilahirkan,Jombang
Di mana provinsi indonesia yang berbatasan darat dengan Malaysia,Kalimantan Utara
Di mana Kota indonesia yang berbatasan dengan Singapura,Batam
Di mana ibukota Kalimantan Tengah,Palangkaraya
Di mana Joko Widodo di lahirkan,Surakarta
Di mana jepang masuk pertama kali ke Indonesia,Tarakan
Di mana terjadinya perlawanan Pattimura,Maluku
Di mana Terjadinya pemberontakan RMS,Maluku
Di mana tempat masuknya Portugis di Indonesia tahun 1512,Maluku
Di mana tempat lahirnya Ahmad Dahlan,Yogyakarta
Di mana letak perang Banjarmasin,Kalimantan Selatan
Kapan Raffles memimpin Inggris di Indonesia,1811
Kapan Raffles menyerahkan Bengkulu sebagai ganti Tumasik dan Malaka,1824
Kapan perlawanan Pangeran Dipenogoro terhadap kolonial,1825
Kapan politik etis muncul,1890
Kapan Taman Siswa berdiri,1922
Kapan PPPKI dibentuk,1927
Kapan Partindo didirikan,1929
Kapan Soekarno bergabung dalam Partindo,1932
Kapan didirikannya Parindra,1935
Kapan berdirinya Gerindo,1937
Kapan Portugis tiba di Maluku,1512
Kapan Spanyol tiba di maluku,1522
Kapan Belanda tiba di Indonesia,1596
Kapan Budi Utomo di bentuk,1908
Kapan berdirinya SDI,1911
Kapan kabinet Sjahrir II dibentuk,Maret 1946
Kapan Soekarno mengeluarkan peraturan Presiden No. 6,1946
Kapan Sjahrir mengajukan penggunduran diri dari PM,1947
Kapan Amir Syarifudin menggundurkan diri,1948
Kapan dikeluarkannya Maklumat Wakil Presiden No.X,Oktober 1945
Kapan dikeluarkannya Dekrit Presiden,5 Juli 1959
Kapan keluarnya Maklumat Pemerintah tentang pendirian partai politik,1945
Kapan tewasnya Jendral Kohler saat melawan Aceh,1873
Kapan SI mengadakan kongres pertama di Surabaya,Januari 1913
Kapan surat kabar Oetoesan Hindia di tutup,1923
Kapan lahirnya organisasi SI,1912
Kapan resmi berdirinya Indische Partij,1912
Kapan berdirinya PNI,1927
Kapan dilakukannya kongres PSII yang ke-17,Januari 1930
Kapan keluarnya PSII dari PPPKI,1930
Kapan didirikannya Perhimpunan Indonesia,1908
Kapan munculnya Petisi Sutardjo,1936
Kapan perlawanan yang dilakukan Hasanoeddin terhadap VOC,1653-1669
Kapan Perang Lampung terjadi,1832
Kapan Perang Batak terjadi,1872
Kapan tahun lahirnya Kartini,1879
Kapan Tahun lahirnya Dewi Sartika,1884
Kapan berdirinya Muhammadiyah,1912
Kapan terjadinya Pemberontakan Troenodjojo,1675
Kapan terjadinya perlawanan Pattimura,1817
Kapan berdirinya Budi Utomo,20 Mei 1908
Kapan Kongres Pertama Sumpah Pemuda terjadi,1926
Kapan Pemilu secara demokratis di Indonesia terjadi,2004
Kapan Timor Timur memisahkan diri dari Indonesia,1999
Kapan Kongres Kedua Sumpah Pemuda terjadi,28 Oktober 1928
Kapan Pemilihan Umum Pertama terjadi,1955
Kapan Peristiwa Trisakti terjadi,1998
Kapan Perang Banjarmasin terjadi,1859
Kapan Belanda menerapkan sistem Tanam Paksa,1803
Kapan sistem pemerintahan parlementer terjadi,1950
Kapan Megawati Sukarnoputri menjadi presiden Indonesia,2001
Kapan Pertempuran Surabaya terjadi,10 November 1945
Kapan BPUPKI dibentuk,1 Maret 1945
Kapan PPKI dibentuk,7 Agustus 1945
Kapan Perang Ambarawa terjadi,20 Oktober 1945
Kapan STOVIA didirikan,1899
Kapan Peristiwa Bandung Lautan Api terjadi,1946
Kapan Kongres Bahasa Indonesia Pertama terjadi,1938
Kapan Pemberontakan Andi Azis terjadi,5 April 1950
Kapan KPK didirikan,2002
Dari mana tokoh Sultan Hasanuddin berasal,Sulawesi Selatan
Dari mana tokoh Agus Salim berasal,Sumatera Barat
Dari mana tokoh Cuk Nyak Dhien berasal,Aceh
Dari mana tokoh Mohammad Yamin berasal,Sawahlunto
Dari mana tokoh Sisingamangaraja XII berasal,Sumatera Utara
Dari mana tokoh Jenderal Soedirman berasal,Jawa Tengah
Dari mana tokoh Tan Malaka berasal,Sumatera Barat
Dari mana tokoh Achmad Soebardjo berasal,Jawa Barat
Dari mana tokoh Cipto Mangunkusumo berasal,Jepara
Dari mana tokoh Pangeran Diponegoro berasal,Yogyakarta
Dari mana tokoh Ismail Marzuki berasal,Jakarta
Dari mana tokoh Mohammad Natsir berasal,Sumatera Barat
Dari mana tokoh M.H Thamrin berasal,Jakarta
Dari mana tokoh I Gusti Ngurah Rai,Badung
Dari mana tokoh Oto Iskandar di Nata berasal,Jawa Barat
Dari mana tokoh Pattimura berasal,Saparua
Dari mana tokoh Pierre Tendean berasal,DKI Jakarta
Dari mana tokoh W.R Soepratman berasal,Jawa Tengah
Dari mana tokoh A.K. Gani berasal,Sumatera Barat
Dari mana tokoh Kartosoewirjo berasal,Jawa Tengah
Dari mana tokoh Sayuti Melik berasal,Yogyakarta
Dari mana tokoh Joko Widodo berasal,Jawa Tengah
Dari mana tokoh Soeharto berasal,Yogyakarta
Dari mana tokoh Abdurrahman Wahid berasal,Jombang
